SubjectID,contrast,ratios
1,0.4,0.301487316
1,0.4,0.523617412
1,0.4,0.249810014
1,0.4,0.516123778
1,0.4,0.444112093
1,0.4,0.347245798
1,0.4,0.180952556
1,0.4,0.48526405
1,0.4,0.24644539
1,0.4,0.519028652
1,0.4,0.334777402
1,0.4,0.472407321
1,0.4,0.247079389
1,0.4,0.436635091
1,0.4,0.400236104
1,0.4,0.311058156
1,0.4,0.454999563
1,0.4,0.49689865
1,0.9,0.658547898
1,0.9,0.577004134
1,0.9,0.366927663
1,0.9,0.403743328
1,0.9,0.620521282
1,0.9,0.643145491
1,0.9,0.330170275
1,0.9,0.561118025
1,0.9,0.637201223
1,0.9,0.603973154
1,0.9,0.437942071
1,0.9,0.506141295
1,0.9,0.621030659
1,0.9,0.537056734
1,0.9,0.559115504
1,0.9,0.388123898
1,0.9,0.548955091
1,0.9,0.657968688
2,0.4,0.47514028
2,0.4,0.555280677
2,0.4,0.505123783
2,0.4,0.466633965
2,0.4,0.504127869
2,0.4,0.468761177
2,0.4,0.506802687
2,0.4,0.46463209
2,0.4,0.456924722
2,0.4,0.557689206
2,0.4,0.560894054
2,0.4,0.495403863
2,0.4,0.454103766
2,0.4,0.484832685
2,0.4,0.450827342
2,0.9,0.50488367
2,0.9,0.521426113
2,0.9,0.482272654
2,0.9,0.513445273
2,0.9,0.47257717
2,0.9,0.468844203
2,0.9,0.486689414
2,0.9,0.422565385
2,0.9,0.376163093
2,0.9,0.537191748
2,0.9,0.500286771
2,0.9,0.516679385
2,0.9,0.462809314
2,0.9,0.513302725
2,0.9,0.523260067
3,0.4,0.674493144
3,0.4,0.432452297
3,0.4,0.623771747
3,0.4,0.481060926
3,0.4,0.58889254
3,0.4,0.40668978
3,0.4,0.773372534
3,0.4,0.743345054
3,0.4,0.667354672
3,0.4,0.527142676
3,0.4,0.528354855
3,0.4,0.583705332
3,0.4,0.656920981
3,0.4,0.65941686
3,0.4,0.591158889
3,0.4,0.399214071
3,0.4,0.60544104
3,0.4,0.461696361
3,0.9,0.576836445
3,0.9,0.738670614
3,0.9,0.659369519
3,0.9,0.531102581
3,0.9,0.675069891
3,0.9,0.679876407
3,0.9,0.658400819
3,0.9,0.668933704
3,0.9,0.690316758
3,0.9,0.523200877
3,0.9,0.456962101
3,0.9,0.432783176
3,0.9,0.721007425
3,0.9,0.64400841
3,0.9,0.617197267
3,0.9,0.593821064
3,0.9,0.641869167
3,0.9,0.543041908
4,0.4,0.369923535
4,0.4,0.414830655
4,0.4,0.415256469
4,0.4,0.463453333
4,0.4,0.620542183
4,0.4,0.509869034
4,0.4,0.573811234
4,0.4,0.695505247
4,0.4,0.532630148
4,0.4,0.286233519
4,0.4,0.330838598
4,0.4,0.413430465
4,0.4,0.387360593
4,0.4,0.26416458
4,0.4,0.52547476
4,0.9,0.053195404
4,0.9,0.512871745
4,0.9,0.239809065
4,0.9,0.573768544
4,0.9,0.505651228
4,0.9,0.517242859
4,0.9,0.410893775
4,0.9,0.374461375
4,0.9,0.526664728
4,0.9,0.262490314
4,0.9,0.332196703
4,0.9,0.491252643
4,0.9,0.471833586
4,0.9,0.343348334
4,0.9,0.483091197
5,0.4,0.154443839
5,0.4,0.292240412
5,0.4,0.103768871
5,0.4,0.006091156
5,0.4,0.149779817
5,0.4,0.118064047
5,0.4,0.590472884
5,0.4,0.417817344
5,0.4,0.353676393
5,0.4,0.038012364
5,0.4,0.048750979
5,0.4,0.052353611
5,0.4,0.510538302
5,0.4,0.517946854
5,0.4,0.120295755
5,0.4,0.249319942
5,0.4,0.189654314
5,0.4,0.273167064
5,0.9,0.571806176
5,0.9,0.463473901
5,0.9,0.507737364
5,0.9,0.414586413
5,0.9,0.572759139
5,0.9,0.552275424
5,0.9,0.363898399
5,0.9,0.611120303
5,0.9,0.787024891
5,0.9,0.515413176
5,0.9,0.818146328
5,0.9,0.427424164
5,0.9,0.681474458
5,0.9,0.636019533
5,0.9,0.577938331
5,0.9,0.747522622
5,0.9,0.617108672
5,0.9,0.529610134
6,0.4,0.348738837
6,0.4,0.280597968
6,0.4,0.185466491
6,0.4,0.446133545
6,0.4,0.543857187
6,0.4,0.123123224
6,0.4,0.260629733
6,0.4,0.405278882
6,0.4,0.214592593
6,0.4,0.510853877
6,0.4,0.240186866
6,0.4,0.330170396
6,0.4,0.462321608
6,0.4,0.474987375
6,0.4,0.450754421
6,0.4,0.794980727
6,0.4,0.602830296
6,0.4,0
6,0.4,0.035608664
6,0.4,0.42642252
6,0.4,0.090690644
6,0.9,0.498940168
6,0.9,0.399452236
6,0.9,0.258913101
6,0.9,0.326080818
6,0.9,0.154698456
6,0.9,0.203736576
6,0.9,0.446783209
6,0.9,0.556820691
6,0.9,0.317066671
6,0.9,0.346482989
6,0.9,0.240000414
6,0.9,0.431828798
6,0.9,0.516564877
6,0.9,0.292239323
6,0.9,0.472081872
6,0.9,0.020005156
6,0.9,0.341584703
6,0.9,0.434143892
6,0.9,0.085722435
6,0.9,0.502736629
6,0.9,0.404255171
7,0.4,0.238359765
7,0.4,0.229403333
7,0.4,0.403859555
7,0.4,0.615465948
7,0.4,0.293235201
7,0.4,0.460774805
7,0.4,0.556756409
7,0.4,0.363912247
7,0.4,0.584602204
7,0.4,0.473943771
