"","IDs","nTrial","Conds","Sat","Tdata.perc","Tdata.duration"
"70","AJ",1,"G_V",0.9,2,2272128
"71","AJ",1,"G_V",0.9,0,247968
"72","AJ",1,"G_V",0.9,1,5144400
"73","AJ",1,"G_V",0.9,0,271984
"74","AJ",1,"G_V",0.9,2,4552336
"75","AJ",1,"G_V",0.9,0,167984
"76","AJ",1,"G_V",0.9,3,5136416
"77","AJ",1,"G_V",0.9,0,63936
"78","AJ",1,"G_V",0.9,3,391968
"79","AJ",1,"G_V",0.9,0,191984
"80","AJ",1,"G_V",0.9,2,808032
"81","AJ",1,"G_V",0.9,0,312000
"82","AJ",1,"G_V",0.9,1,2624160
"83","AJ",1,"G_V",0.9,0,151984
"84","AJ",1,"G_V",0.9,4,2848192
"85","AJ",1,"G_V",0.9,0,191952
"86","AJ",1,"G_V",0.9,1,1192064
"87","AJ",1,"G_V",0.9,0,215952
"88","AJ",1,"G_V",0.9,3,3816288
"89","AJ",1,"G_V",0.9,0,71952
"90","AJ",1,"G_V",0.9,3,199984
"91","AJ",1,"G_V",0.9,0,384016
"92","AJ",1,"G_V",0.9,2,383984
"93","AJ",1,"G_V",0.9,0,208000
"94","AJ",1,"G_V",0.9,4,1152064
"95","AJ",1,"G_V",0.9,0,231968
"96","AJ",1,"G_V",0.9,2,808032
"97","AJ",1,"G_V",0.9,0,352000
"98","AJ",2,"G_V",0.9,0,32
"99","AJ",2,"G_V",0.9,4,657488
"100","AJ",2,"G_V",0.9,0,168000
"101","AJ",2,"G_V",0.9,1,1552064
"102","AJ",2,"G_V",0.9,0,159984
"103","AJ",2,"G_V",0.9,4,1840112
"104","AJ",2,"G_V",0.9,0,175984
"105","AJ",2,"G_V",0.9,3,2144128
"106","AJ",2,"G_V",0.9,0,95968
"107","AJ",2,"G_V",0.9,4,1960128
"108","AJ",2,"G_V",0.9,0,167968
"109","AJ",2,"G_V",0.9,3,2408176
"110","AJ",2,"G_V",0.9,0,63984
"111","AJ",2,"G_V",0.9,4,2144128
"112","AJ",2,"G_V",0.9,0,199984
"113","AJ",2,"G_V",0.9,1,1248048
"114","AJ",2,"G_V",0.9,0,176000
"115","AJ",2,"G_V",0.9,3,1168080
"116","AJ",2,"G_V",0.9,0,159920
"117","AJ",2,"G_V",0.9,2,640000
"118","AJ",2,"G_V",0.9,0,183968
"119","AJ",2,"G_V",0.9,4,1888128
"120","AJ",2,"G_V",0.9,0,223984
"121","AJ",2,"G_V",0.9,1,824016
"122","AJ",2,"G_V",0.9,0,280000
"123","AJ",2,"G_V",0.9,3,3656272
"124","AJ",2,"G_V",0.9,0,199984
"125","AJ",2,"G_V",0.9,1,1304080
"126","AJ",2,"G_V",0.9,0,151968
"127","AJ",2,"G_V",0.9,4,2312160
"128","AJ",2,"G_V",0.9,0,175968
"129","AJ",2,"G_V",0.9,1,2344160
"130","AJ",2,"G_V",0.9,0,224000
"131","AJ",2,"G_V",0.9,3,2584144
"132","AJ",2,"G_V",0.9,0,183984
"133","AJ",2,"G_V",0.9,2,1824112
"134","AJ",2,"G_V",0.9,0,744032
"135","AJ",2,"G_V",0.9,4,391984
"136","AJ",2,"G_V",0.9,0,576016
"137","AJ",2,"G_V",0.9,3,968032
"138","AJ",2,"G_V",0.9,0,151984
"139","AJ",2,"G_V",0.9,2,936032
"140","AJ",2,"G_V",0.9,0,255984
"141","AJ",2,"G_V",0.9,1,3432256
"142","AJ",2,"G_V",0.9,0,191984
"143","AJ",2,"G_V",0.9,4,1600096
"144","AJ",2,"G_V",0.9,0,167984
"145","AJ",2,"G_V",0.9,2,2912208
"146","AJ",2,"G_V",0.9,0,175984
"147","AJ",2,"G_V",0.9,3,6408496
"148","AJ",2,"G_V",0.9,0,199984
"149","AJ",2,"G_V",0.9,1,2608176
"150","AJ",2,"G_V",0.9,0,215968
"151","AJ",2,"G_V",0.9,3,1136048
"152","AJ",2,"G_V",0.9,0,207968
"153","AJ",2,"G_V",0.9,1,2696176
"154","AJ",2,"G_V",0.9,0,63968
"155","AJ",2,"G_V",0.9,4,2136144
"156","AJ",2,"G_V",0.9,0,183984
"157","AJ",2,"G_V",0.9,2,856032
"158","AJ",2,"G_V",0.9,0,160000
"159","AJ",2,"G_V",0.9,3,3368240
"160","AJ",2,"G_V",0.9,0,151968
"161","AJ",2,"G_V",0.9,4,2568176
"162","AJ",2,"G_V",0.9,0,504016
"163","AJ",2,"G_V",0.9,3,4592336
"164","AJ",2,"G_V",0.9,0,119984
"165","AJ",2,"G_V",0.9,2,4248304
"166","AJ",2,"G_V",0.9,0,223984
"167","AJ",2,"G_V",0.9,1,4064288
"168","AJ",2,"G_V",0.9,0,183968
"169","AJ",2,"G_V",0.9,2,1784112
"170","AJ",2,"G_V",0.9,0,111984
"171","AJ",2,"G_V",0.9,3,1472064
"172","AJ",2,"G_V",0.9,0,159968
"173","AJ",2,"G_V",0.9,1,2544192
