"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",184.473234300208,184.438827172846,184.511667462442,3479.2,0.95,176.823519734486,192.208507149973,NA,NA,NA,NA,NA,NA,NA
"beta1",-33.6167643814935,-33.6087039180712,-33.6620175698774,4121,0.95,-44.0207570243552,-23.5203142548864,0,0,-0.5,0.5,100,0,0
"sigma",76.0159731138398,75.962160124994,75.6454375833688,4380.5,0.95,70.5505449082138,81.6432230105308,NA,NA,NA,NA,NA,NA,NA
"nu",3.65124721581721,3.61210580023978,3.52586405872473,4513.9,0.95,2.84593276677396,4.48165368553991,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",0.559588411873975,0.557760462381026,0.551526226642044,4540.8,0.95,0.46687558589526,0.660878899008927,NA,NA,NA,NA,NA,NA,NA
